Gene	log10p	es
1	A1BG	0.358744443844994	-0.0518987193656806
2	NAT2	0.19946757605814	-0.0749269815090684
3	ADA	0.0876485891792119	0.00934659935512482
4	CDH2	0.411236489602669	0.0260342243628389
5	AKT3	2.35621157645397	0.0703629010962949
6	MED6	0.478129500541766	-0.311898537037609
7	NR2E3	0.078936126765508	-0.126437104488442
8	NAALAD2	0.138434253695368	0.101928001919166
9	DUXB	0.363648118114309	0.141263694362747
10	PDZK1P1	0.00014038364773669	0.0345802489865959
11	DDTL	0.0944537332489205	0.188671178970932
12	NAALADL1	0.193233231774236	0.144530284620732
13	GUSBP9;LOC100653061;SMA5;GUSBP2;GUSBP3	0.0560847102110023	-0.00322358112951441
14	SIGLEC14	0.868426883792886	-0.120868560379982
15	ACOT8	0.122132018738368	-0.311760591763584
16	ABI1	0.163061125649774	-0.0587702626880698
17	GNPDA1	0.240347496338156	-0.0136903443688308
18	KCNE3	0.0756839632829242	-0.0688884980430427
19	ZBTB33	0.252647523988091	-0.0174672694230198
20	GTF2IP4;GTF2IP1	0.662870573411556	0.177716243168444
21	CDH3	0.281020786739664	0.0586643016538271
22	TANK	0.313219760012571	-0.292995797162879
23	POM121C	0.038782010821834	-0.103162469380148
24	PMS2P7	0.207230203326137	0.0814163281945554
25	LOC100101478;H2BFXP	0.612715000465417	-0.0156623398243711
26	TMEM170B	0.478367639770728	-0.445849883183881
27	FAM86JP;FAM86C1;FAM86FP	0.0714388815052629	-0.10990673362209
28	EGOT	0.137428797158895	-0.0109446735755413
29	LOC100128076	0.216203365703723	0.0302477109316668
30	CTAGE4	0.644490282601158	0.0248390022004276
31	CDC42P3	0.59807694812371	0.0731074035117895
32	ZBTB42	0.433532541908934	-0.114520956562839
33	LOC100129055	0.271982679237812	0.0498409008522103
34	SLC39A12-AS1;LOC389834	0.48330591172181	0.0397119489313667
35	LINC01160;LOC105379331;LOC107984772;FAM71F2	0.986187551321224	-0.360801771113171
36	FAM106CP	0.041702567584218	0.0562406007134916
37	MSTO2P	0.696026450006033	0.0205143455165638
38	LOC100129434	0.707508304102689	0.0363078885223878
39	DPY19L1P1	0.230498532878451	-0.033015196519492
40	ZNF737	0.28355852128777	-0.0470246885074255
41	HDAC6	0.0978805040957668	-0.0349752009194066
42	LOC100130075	0.254567519408206	0.188818904689399
43	HSFX2;HSFX1	0.334359203298574	-0.0393255011161017
44	LOC100130331	0.235017932774628	-1.67051199185483
45	PARD6G-AS1	0.0250585761878256	-0.245479382748953
46	LOC100130691	0.614295297888514	-0.0039329059737106
47	LRRC70	0.183812918138642	0.0803852020016527
48	LRRC69	0.0522970466836882	-0.0428873674832091
49	SBK3	1.16443282276842	-0.219072554295565
50	TSTD3	0.10309468801988	0.108969597388201
51	ZNF663P	0.226817986177065	0.0671369685628366
52	C7orf72	0.573175093184376	-0.266004250952211
53	RPL21P28;RPL21	0.492077542164176	-0.335465690916001
54	LOC100131257	0.496205376609845	0.299919333278824
55	RAB6C-AS1	0.157535918585313	-0.0809700085998197
56	CD300LD	0.499126375413849	0.0827390991409946
57	ZNF705E;ZNF705B	0.185301272883228	0.142896654591439
58	LOC100131626;LOC105376489;LOC105379724;LOC107985887;SOX9-AS1	0.0953114491555744	0.028436874141775
59	UBE2DNL	0.991967074533378	-0.016967116384246
60	RRN3P3;LOC101060405	0.507289262913436	-0.0161025569194689
61	LOC100132154	0.172683634729423	0.0362755712549386
62	KIR2DS2	0.089405654701274	0.0579471162898811
63	FAM157B	0.515902550073186	-0.11780749707355
64	NBPF10;NBPF26;NBPF15	0.0800779534570915	-0.0726112762043287
65	FCGR1CP	0.143262609797939	0.143133925229008
66	FAM99B;FAM99A	0.126636747918505	0.176999840291134
67	KRTAP4-7;LOC100996750	0.186497908100589	0.03455704523351
68	GOLGA8F;GOLGA8G	0.745167423944532	-0.0200442999494292
69	PGAM1P5	0.204398457623064	0.137039409946824
70	DCAF13P3	0.198095374771038	-1.10701162514874
71	PMS2P9	0.174868585386742	0.113767657444882
72	GOLGA8DP;GOLGA8EP;GOLGA8CP	1.38728587954273	0.142663040082386
73	RASA4DP	1.315841135248	0.0215180591844456
74	LOC100133050;LOC102725009	0.00381271090561606	0.125323130063397
75	LINC01001;LOC105377826;LOC107984841	0.149109658712674	0.0533527391801209
76	GOLGA6L3;GOLGA6L19;LOC102724093;LOC102724117;GOLGA6L5P;GOLGA6L9;GOLGA6L17P;GOLGA6L4;GOLGA6L10	0.0541172148280032	0.0795684659202827
77	LOC100133920	0.361982017111038	0.155884824546311
78	CD24	0.0945135416098325	0.0225824854619193
79	KCNJ18	0.202869773183705	0.120909032739434
80	UPK3BL1	0.561273348009687	0.594325293888461
81	JMJD7	0.703171216985233	-0.139581850846154
82	PLA2G4B	0.688989458957712	0.0945520493579973
83	HDAC5	1.20833198729113	0.0252892187714944
84	C17orf99	0.141327536315278	-0.0470443934024124
85	CTAGE8	0.432463528666297	0.0194545844832654
86	KLLN	0.0143763503483928	-0.269051841490057
87	PDCD6IP	0.188236610265576	-0.170113183702323
88	PDCD6	0.247354085258087	-0.117090404860357
89	BCL2L10	0.220100891165699	-0.0404829684657142
90	SRRM5	0.294185996698753	-0.504843289406159
91	BCL2L11	0.934735322601442	-0.00891963030130949
92	TOMM6	0.0785998969582862	-0.159060705370431
93	LINC00092;SMIM12	0.10333827466245	0.11400276187123
94	SH2B3	0.75131567038306	-0.0375208699914185
95	C5orf52	0.133141197587862	-0.277811744492711
96	PPIAP30	0.707945841504879	-0.0307488404955954
97	CDH4	0.152484989100922	-0.0769397606887057
98	GNE	0.444378628915289	-0.13645750536621
99	HCN4	0.0329585608738942	0.00369413104648264
100	INSL5	0.347821140602885	-0.0593396017446416
101	FRAT1	0.0104504929264669	-0.083165019142812
102	TROAP	0.384013818071971	-0.0333427233715417
103	MED16	0.20147306865921	-0.0842568954605051
104	PIGK	0.361285631926088	-0.0566669858188498
105	ARHGEF33	0.112008953186937	-0.216564638289987
106	LIMS3-LOC440895	0.615324760871668	0.167195510172815
107	SMG1P3;SMG1P1	0.802434427113667	0.358628424843338
108	MEF2B	0.205106827495809	0.079508269290211
109	ZNRF2P2;ZNRF2P1;LOC646762	0.0148400227780031	-0.2938095775115
110	RASA4B	0.443973904361541	0.0164776694501746
111	CMC4	0.0238202633807076	-0.131062153053746
112	FAM86KP	0.820229923136162	0.225950286826478
113	LOC100287072	0.696045326144635	0.151528853678832
114	WASHC1	0.0992380187472101	-0.0250551509183209
115	ZNF729;ZNF99	0.0543212253564433	0.0769109204176
116	POTEB2	0.218034162176529	0.0533880453550445
117	ANKRD66	0.341149326141363	-0.363196559269577
118	LOC100287896	0.293296811635631	-0.0957609301143468
119	TTC34	0.862836549485944	-0.100482114819458
120	SDR42E2;LOC105371187	0.366902644797127	0.0399044893955079
121	NBPF20	0.0405442547918242	-0.176557044611224
122	NPIPA5;NPIPA7;NPIPA8;NPIPB13;NPIPA3;NPIPA2;NPIPA1	0.541484372395409	0.0805372394327133
123	ULK4P2;ULK4P1	0.172090581140368	0.0144919577389788
124	REXO1L2P;LOC100288562;LOC101929601;LOC101929627;LOC101930111;REXO1L1P	0.146254589605267	0.12946336369108
125	LIMS4;LIMS3	0.707889291511203	0.045414525593517
126	LOC100288778	0.0374777176000032	0.0096053463152634
127	FRG2C	0.152200852904429	-0.0130305393843488
128	HYDIN2	0.0133509981266781	-0.0945202077863475
129	LOC100288966;POTED	0.372785716485658	0.151057609627735
130	TSPY10;TSPY1;TSPY3;TSPY4;TSPY8	1.34904768638781	0.215039261441452
131	FRG1CP	1.72895558443957	-0.00255231939519377
132	DEFB4B;DEFB4A	0.903970051996729	-0.108114625268231
133	LOC100289561	0.0759980545367663	0.138090472477749
134	ZNF605	0.00321630176801509	-0.0998853267349116
135	C4B_2;LOC110384692;C4A	0.686100141874951	0.128686709524239
136	CDH5	0.297586544013723	-0.0216486594182357
137	MIR1244-1;MIR1244-3;MIR1244-2;MIR1244-4	0.0497236247758677	0.2134216939213
138	GPR75-ASB3	1.18693628917645	0.0662072730052798
139	TMED7-TICAM2	2.99242609840056	-0.122732873663169
140	TSNAX-DISC1	0.0288150682089278	0.192393857129026
141	NDUFAF4P1	0.549531114294951	0.0194415432812734
142	SPDYE2B;SPDYE2;SPDYE6	0.321698128373576	-0.106184338789235
143	GCSHP3	0.517326152351691	-0.0031155590393805
144	CHAF1A	1.37043130345483	-0.739606823207589
145	NPPA-AS1	0.296065518420356	0.0211349211310458
146	PARP2	0.988235665795972	-0.0557629398584516
