Species	Entrez.ID	Gene	Description	Evidence..PMID.	Tier	References	Function..PMID.
1	Homo sapiens	103	ADAR	Double-stranded RNA-specific adenosine deaminase	HTS (29742442), in vitro editing assay (28132026), DRIP-qPCR (33712600), RNaseH sensitivity (33712600), immunofluorescence with S9.6 (33712600)	1	28132026, 29742442, 33712600	binding to RNA:DNA hybrid and editing the DNA strand (28132026), editing the A-C mismatches within RNA:DNA hybrids formed between canonical and non-canonical variant repeats to facilitate resolution of telomeric R-loops by RNaseH2 (33712600)
2	Homo sapiens	9716	AQR	Intron-binding protein aquarius	HTS (30108179), immunofluorescence with S9.6 (25435140), RNaseH sensitivity (25435140), dot blot with S9.6 (29061988)	1	25435140, 29061988, 30108179	RNA:DNA helicase, resolving R-loop (25435140, 29061988)
3	Homo sapiens	472	ATM	Serine-protein kinase ATM	DRIP-qPCR (31338941, 33571423), RNaseH sensitivity (33571423), flag tagged HB-domain (30345028)	1	31338941, 33571423, 30345028	safeguarding genome stability against harmful RNA:DNA hybrids (31338941, 33571423), RNA:DNA hybrid promotes ATM activation (30345028)
4	Homo sapiens	545	ATR	Serine/threonine-protein kinase ATR	RNaseH sensitivity (29170278), immunofluorescence with S9.6 (29038346, 31338941), DRIP-qPCR (31338941)	1	29038346, 29170278, 31338941	activated by R loops for faithful chromosome segregation (29170278), preventing R-loop formation to resolve replication stress (29038346, 31338941)
5	Homo sapiens	641	BLM	Bloom syndrome protein	in vitro helicase assay (18448429, 23261817, 29042409), immunofluorescence with S9.6 (29042409, 31977077), RNaseH sensitivity (29042409), PLA with anti-BLM and S9.6 antibodies (29042409)	1	18448429, 23261817, 29042409, 31977077	helicase to remove R-loops (18448429, 23261817, 29042409, 31977077), enhancing the DNA relaxation activity (23261817)
6	Homo sapiens	672	BRCA1	Breast cancer type 1 susceptibility protein	DRIP-qPCR (24896180, 25699710, 30894746), RNaseH sensitivity (24896180, 25184681, 30560944, 25623070), EMSA (30560944), immunofluorescence with S9.6 (28649985, 25623070), RNaseH sensitivity (28649985), DRIP-seq (28649985)	1	24896180, 25184681, 25699710, 28649985, 30560944, 30894746, 25623070	recognizing directly RNA:DNA hybrid (30560944), interacting with SETX to prevent R-loop-driven DNA damage repair (25699710), alleviating pausing-induced R-loops (28649985, 30894746), preventing R-loop accumulation and the associated replication stress and genome instability (24896180, 25184681), binding to cytosolic RNA:DNA hybrids (25623070)
7	Homo sapiens	675	BRCA2	Breast cancer type 2 susceptibility protein	GFP-RNaseH1-HB (24896180), RNaseH sensitivity (24896180, 29386125, 33634895), DRIP-qPCR (24896180, 29386125, 30560944, 33634895), immunofluorescence with S9.6 (29386125, 33634895), PLA using anti-gamma H2AX and RNaseH2A antibodies (30560944), co-IP of RNaseH2A and BRCA2 (30560944)	1	24896180, 29386125, 30560944, 33634895	preventing R-loop formation (24896180), promoting Pol II release (29386125), mediating RNaseH2 recruitment (30560944), stimulating the R-loop-unwinding activity of DDX5 (33634895)
8	Homo sapiens	23476	BRD4	Bromodomain-containing protein 4	immunofluorescence with S9.6 (31753913, 32796829), dot blot with S9.6 (31753913), RNaseH sensitivity (32796829), DRIP-qPCR (32796829), mCherry-RNaseH1 mutant (31753913), R-ChIP (32966794), R-ChIP-qPCR (32966794)	1	31753913, 32796829, 32966794	preventing the accumulation of R-loops (32796829, 32966794), regulating TOP1 activity by regulating RNAP II CTD phosphorylation (31753913)
9	Homo sapiens	1653	DDX1	ATP-dependent RNA helicase DDX1	HTS (29742442, 30108179), DRIP-qPCR (27550810, 29731414), RNaseH sensitivity (27550810, 28544931, 29731414), pull-down assay (29742442), reverse IP (29742442), in vitro helicase assay (18710941)	1	18710941, 27550810, 28544931, 29731414, 29742442, 30108179	converting RNA G-Quadruplex Structures into R-loops (29731414), unwinding RNA:DNA hybrids and degrading RNA at DSB sites (18710941, 27550810), RNA-DNA hybrids are required for DDX1 accrual at DSBs (28544931)
10	Homo sapiens	9188	DDX21	Nucleolar RNA helicase 2	HTS (29742442, 30108179), in vitro helicase assay (8407977, 28790157), immunofluorescence with S9.6 (28790157), RNaseH sensitivity (28790157), DRIP-qPCR (28790157, 31251802)	1	8407977, 28790157, 29742442, 30108179, 31251802	helicase to clear R-loops (8407977, 28790157, 31251802)
11	Homo sapiens	1655	DDX5	Probable ATP-dependent RNA helicase DDX5	HTS (29742442, 30108179), DRIP-seq (32747416), in vitro helicase assay (31267554, 33634895), immunofluorescence with S9.6 (31267554, 33634895, 25623070), dot blot with S9.6 (31267554), DRIP-qPCR (31267554, 33015627, 33634895), RNaseH sensitivity (31267554, 33015627, 33634895, 25623070), pull-down assay (29742442), biolayer interferometry (30108179), PLA with anti-DDX5 and S9.6 antibody (33634895), DRIPc-seq (33634895)	1	25623070, 29742442, 30108179, 31267554, 32747416, 33015627, 33634895	helicase to clear R-loops (31267554, 33634895, 32747416, 33015627), binding to cytosolic RNA:DNA hybrids (25623070)
12	Homo sapiens	1660	DHX9	ATP-dependent RNA helicase A	HTS (29742442, 30108179), immunofluorescence with S9.6 (30341290), pull-down assay (29742442), DRIP-qPCR (29742442, 33529165), in vitro helicase assay (21561811)	1	29742442, 30108179, 30341290, 33529165, 21561811	promoting R-loop formation in cells with impaired RNA splicing (30341290), promoting R-loop suppression and transcriptional termination (29742442), preventing R-loop-associated DNA damage (29742442), helicase to unwind RNA:DNA hybrids (33529165, 21561811)
13	Homo sapiens	2072	ERCC4	DNA repair endonuclease XPF	immunofluorescence with S9.6 (25435140), dot-blot with the S9.6 antibody (33649200), RNaseH sensitivity (33649200)	1	25435140, 33649200	converting R-loops to DSBs (25435140, 33649200)
14	Homo sapiens	2073	ERCC5	DNA repair protein complementing XP-G cells	immunofluorescence with S9.6 (25435140), dot-blot with the S9.6 antibody (33649200), RNaseH sensitivity (33649200)	1	25435140, 33649200	converting R-loops to DSBs (25435140, 33649200)
15	Homo sapiens	2130	EWSR1	RNA-binding protein EWS	HTS (30108179), fluorescence anisotropy (32352519), EMSA (32352519), immunofluorescence with S9.6 (29513652), RNaseH sensitivity (29513652), DRIP-seq (29513652)	1	30108179, 32352519, 29513652	RNA binding protein (32352519), disease-related fusion protein increases transcription to cause R-loops and block BRCA1 repair in Ewing Sarcoma (29513652)
16	Homo sapiens	5394	EXOSC10	Exosome component 10	HTS (30108179), DRIP-qPCR (25957685, 31086179), RNaseH sensitivity (31086179)	1	25957685, 30108179, 31086179	preventing R-loop formation by clearance of eRNA or damage-induced lncRNA (25957685, 31086179)
